,quotedate,expiration,strike,impliedvol,delta
9369,2020-01-03,2020-01-31,255.0,0.3378,-0.0047
9371,2020-01-03,2020-01-31,260.0,0.3199,-0.0059
9373,2020-01-03,2020-01-31,265.0,0.306,-0.0082
9375,2020-01-03,2020-01-31,270.0,0.2888,-0.0106
9377,2020-01-03,2020-01-31,275.0,0.2729,-0.0144
9379,2020-01-03,2020-01-31,277.5,0.2678,-0.0177
9381,2020-01-03,2020-01-31,280.0,0.2589,-0.0203
9383,2020-01-03,2020-01-31,280.5,0.2584,-0.0214
9385,2020-01-03,2020-01-31,281.0,0.2556,-0.0216
9387,2020-01-03,2020-01-31,281.5,0.2549,-0.0227
9389,2020-01-03,2020-01-31,282.0,0.2521,-0.0229
9391,2020-01-03,2020-01-31,282.5,0.2514,-0.024
9393,2020-01-03,2020-01-31,283.0,0.2505,-0.0251
9395,2020-01-03,2020-01-31,283.5,0.2486,-0.0258
9397,2020-01-03,2020-01-31,284.0,0.2467,-0.0265
9399,2020-01-03,2020-01-31,284.5,0.2457,-0.0277
9401,2020-01-03,2020-01-31,285.0,0.2445,-0.0288
9403,2020-01-03,2020-01-31,285.5,0.2426,-0.0296
9405,2020-01-03,2020-01-31,286.0,0.2405,-0.0303
9407,2020-01-03,2020-01-31,286.5,0.2392,-0.0315
9409,2020-01-03,2020-01-31,287.0,0.2379,-0.0327
9411,2020-01-03,2020-01-31,287.5,0.2365,-0.0339
9413,2020-01-03,2020-01-31,288.0,0.235,-0.0351
9415,2020-01-03,2020-01-31,288.5,0.2335,-0.0364
9417,2020-01-03,2020-01-31,289.0,0.2319,-0.0376
9419,2020-01-03,2020-01-31,289.5,0.2303,-0.0389
9421,2020-01-03,2020-01-31,290.0,0.2293,-0.0406
9423,2020-01-03,2020-01-31,290.5,0.2275,-0.0419
9425,2020-01-03,2020-01-31,291.0,0.2264,-0.0437
9427,2020-01-03,2020-01-31,291.5,0.2245,-0.045
9429,2020-01-03,2020-01-31,292.0,0.2232,-0.0468
9431,2020-01-03,2020-01-31,292.5,0.2214,-0.0483
9433,2020-01-03,2020-01-31,293.0,0.2199,-0.05
9435,2020-01-03,2020-01-31,293.5,0.2184,-0.0519
9437,2020-01-03,2020-01-31,294.0,0.2169,-0.0538
9439,2020-01-03,2020-01-31,294.5,0.2158,-0.0561
9441,2020-01-03,2020-01-31,295.0,0.2141,-0.0581
9443,2020-01-03,2020-01-31,295.5,0.2123,-0.06
9445,2020-01-03,2020-01-31,296.0,0.21100000000000002,-0.0624
9447,2020-01-03,2020-01-31,296.5,0.2096,-0.0648
9449,2020-01-03,2020-01-31,297.0,0.2081,-0.0673
9451,2020-01-03,2020-01-31,297.5,0.2065,-0.0698
9453,2020-01-03,2020-01-31,298.0,0.2053,-0.0727
9455,2020-01-03,2020-01-31,298.5,0.2037,-0.0754
9457,2020-01-03,2020-01-31,299.0,0.2023,-0.0783
9459,2020-01-03,2020-01-31,299.5,0.2008,-0.0813
9461,2020-01-03,2020-01-31,300.0,0.1993,-0.0845
9463,2020-01-03,2020-01-31,300.5,0.1977,-0.0876
